,A_Properties,Num,A_SQFT
0,3000 S 28TH ST,50299410,1
1,3102 S 28TH ST,50299400,1
2,"3200 S 28TH ST, UNIT 101",50466800,1090
3,"3200 S 28TH ST, UNIT 102",50466810,1280
4,"3200 S 28TH ST, UNIT 201",50466820,700
5,"3200 S 28TH ST, UNIT 202",50466830,930
6,"3200 S 28TH ST, UNIT 203",50466840,930
7,"3200 S 28TH ST, UNIT 204",50466850,700
8,"3200 S 28TH ST, UNIT 301",50466860,700
9,"3200 S 28TH ST, UNIT 302",50466870,930
10,"3200 S 28TH ST, UNIT 303",50466880,930
11,"3200 S 28TH ST, UNIT 304",50466890,700
12,"3200 S 28TH ST, UNIT 401",50466900,700
13,"3200 S 28TH ST, UNIT 402",50466910,930
14,"3200 S 28TH ST, UNIT 403",50466920,930
15,"3200 S 28TH ST, UNIT 404",50466930,700
16,"3210 S 28TH ST, UNIT 101",50466940,1090
17,"3210 S 28TH ST, UNIT 102",50466950,1210
18,"3210 S 28TH ST, UNIT 103",50466960,375
19,"3210 S 28TH ST, UNIT 201",50466970,700
20,"3210 S 28TH ST, UNIT 202",50466980,930
21,"3210 S 28TH ST, UNIT 203",50466990,930
22,"3210 S 28TH ST, UNIT 204",50467000,700
23,"3210 S 28TH ST, UNIT 301",50467010,700
24,"3210 S 28TH ST, UNIT 302",50467020,930
25,"3210 S 28TH ST, UNIT 303",50467030,930
26,"3210 S 28TH ST, UNIT 304",50467040,700
27,"3210 S 28TH ST, UNIT 401",50467050,700
28,"3210 S 28TH ST, UNIT 402",50467060,930
29,"3210 S 28TH ST, UNIT 403",50467070,930
30,"3210 S 28TH ST, UNIT 404",50467080,700
31,"3220 S 28TH ST, UNIT 101",50467090,900
32,"3220 S 28TH ST, UNIT 102",50467100,715
33,"3220 S 28TH ST, UNIT 201",50467110,690
34,"3220 S 28TH ST, UNIT 202",50467120,910
35,"3220 S 28TH ST, UNIT 203",50467130,720
36,"3220 S 28TH ST, UNIT 204",50467140,695
37,"3220 S 28TH ST, UNIT 301",50467150,690
38,"3220 S 28TH ST, UNIT 302",50467160,910
39,"3220 S 28TH ST, UNIT 303",50467170,720
40,"3220 S 28TH ST, UNIT 304",50467180,695
41,"3220 S 28TH ST, UNIT 401",50467190,690
42,"3220 S 28TH ST, UNIT 402",50467200,910
43,"3220 S 28TH ST, UNIT 403",50467210,720
44,"3220 S 28TH ST, UNIT 404",50467220,695
45,"3222 S 28TH ST, UNIT 101",50467230,910
46,"3222 S 28TH ST, UNIT 102",50467240,900
47,"3222 S 28TH ST, UNIT 201",50467250,695
48,"3222 S 28TH ST, UNIT 202",50467260,720
49,"3222 S 28TH ST, UNIT 203",50467270,910
50,"3222 S 28TH ST, UNIT 204",50467280,690
51,"3222 S 28TH ST, UNIT 301",50467290,695
52,"3222 S 28TH ST, UNIT 302",50467300,720
53,"3222 S 28TH ST, UNIT 303",50467310,910
54,"3222 S 28TH ST, UNIT 304",50467320,690
55,"3222 S 28TH ST, UNIT 401",50467330,695
56,"3222 S 28TH ST, UNIT 402",50467340,720
57,"3222 S 28TH ST, UNIT 403",50467350,910
58,"3222 S 28TH ST, UNIT 404",50467360,690
59,"3230 S 28TH ST, UNIT 101",50467370,900
60,"3230 S 28TH ST, UNIT 102",50467380,715
61,"3230 S 28TH ST, UNIT 201",50467390,690
62,"3230 S 28TH ST, UNIT 202",50467400,910
63,"3230 S 28TH ST, UNIT 203",50467410,720
64,"3230 S 28TH ST, UNIT 204",50467420,695
65,"3230 S 28TH ST, UNIT 301",50467430,690
66,"3230 S 28TH ST, UNIT 302",50467440,910
67,"3230 S 28TH ST, UNIT 303",50467450,720
68,"3230 S 28TH ST, UNIT 304",50467460,695
69,"3230 S 28TH ST, UNIT 401",50467470,690
70,"3230 S 28TH ST, UNIT 402",50467480,910
71,"3230 S 28TH ST, UNIT 403",50467490,720
72,"3230 S 28TH ST, UNIT 404",50467500,695
73,"3232 S 28TH ST, UNIT 101",50467510,910
74,"3232 S 28TH ST, UNIT 102",50467520,900
75,"3232 S 28TH ST, UNIT 201",50467530,695
76,"3232 S 28TH ST, UNIT 202",50467540,720
77,"3232 S 28TH ST, UNIT 203",50467550,910
78,"3232 S 28TH ST, UNIT 204",50467560,690
79,"3232 S 28TH ST, UNIT 301",50467570,695
80,"3232 S 28TH ST, UNIT 302",50467580,720
81,"3232 S 28TH ST, UNIT 303",50467590,910
82,"3232 S 28TH ST, UNIT 304",50467600,690
83,"3232 S 28TH ST, UNIT 401",50467610,695
84,"3232 S 28TH ST, UNIT 402",50467620,720
85,"3232 S 28TH ST, UNIT 403",50467630,910
86,"3232 S 28TH ST, UNIT 404",50467640,690
87,"3240 S 28TH ST, UNIT 101",50467650,1090
88,"3240 S 28TH ST, UNIT 102",50467660,1280
89,"3240 S 28TH ST, UNIT 201",50467670,700
90,"3240 S 28TH ST, UNIT 202",50467680,930
91,"3240 S 28TH ST, UNIT 203",50467690,930
92,"3240 S 28TH ST, UNIT 204",50467700,700
93,"3240 S 28TH ST, UNIT 301",50467710,700
94,"3240 S 28TH ST, UNIT 302",50467720,930
95,"3240 S 28TH ST, UNIT 303",50467730,930
96,"3240 S 28TH ST, UNIT 304",50467740,700
97,"3240 S 28TH ST, UNIT 401",50467750,700
98,"3240 S 28TH ST, UNIT 402",50467760,930
99,"3240 S 28TH ST, UNIT 403",50467770,930
100,"3240 S 28TH ST, UNIT 404",50467780,700
101,"3242 S 28TH ST, UNIT 101",50467790,1090
102,"3242 S 28TH ST, UNIT 102",50467800,1280
103,"3242 S 28TH ST, UNIT 201",50467810,700
104,"3242 S 28TH ST, UNIT 202",50467820,930
105,"3242 S 28TH ST, UNIT 203",50467830,930
106,"3242 S 28TH ST, UNIT 204",50467840,700
107,"3242 S 28TH ST, UNIT 301",50467850,700
108,"3242 S 28TH ST, UNIT 302",50467860,930
109,"3242 S 28TH ST, UNIT 303",50467870,930
110,"3242 S 28TH ST, UNIT 304",50467880,700
111,"3242 S 28TH ST, UNIT 401",50467890,700
112,"3242 S 28TH ST, UNIT 402",50467900,930
113,"3242 S 28TH ST, UNIT 403",50467910,930
114,"3242 S 28TH ST, UNIT 404",50467920,700
115,3300 S 28TH ST,43144000,1
116,"3300 S 28TH ST, UNIT 101",50467930,1170
117,"3300 S 28TH ST, UNIT 102",50467940,875
118,"3300 S 28TH ST, UNIT 201",50467950,675
119,"3300 S 28TH ST, UNIT 202",50467960,890
120,"3300 S 28TH ST, UNIT 203",50467970,890
121,"3300 S 28TH ST, UNIT 204",50467980,675
122,"3300 S 28TH ST, UNIT 301",50467990,675
123,"3300 S 28TH ST, UNIT 302",50468000,690
124,"3300 S 28TH ST, UNIT 303",50468010,890
125,"3300 S 28TH ST, UNIT 304",50468020,675
126,"3300 S 28TH ST, UNIT 401",50468030,675
127,"3300 S 28TH ST, UNIT 402",50468040,890
128,"3300 S 28TH ST, UNIT 403",50468050,890
129,"3300 S 28TH ST, UNIT 404",50468060,675
130,"3310 S 28TH ST, UNIT 101",50468070,695
131,"3310 S 28TH ST, UNIT 102",50468080,960
132,"3310 S 28TH ST, UNIT 201",50468090,705
133,"3310 S 28TH ST, UNIT 202",50468100,715
134,"3310 S 28TH ST, UNIT 203",50468110,875
135,"3310 S 28TH ST, UNIT 204",50468120,690
136,"3310 S 28TH ST, UNIT 301",50468130,705
137,"3310 S 28TH ST, UNIT 302",50468140,715
138,"3310 S 28TH ST, UNIT 303",50468150,875
139,"3310 S 28TH ST, UNIT 304",50468160,690
140,"3310 S 28TH ST, UNIT 401",50468170,705
141,"3310 S 28TH ST, UNIT 402",50468180,715
142,"3310 S 28TH ST, UNIT 403",50468190,875
143,"3310 S 28TH ST, UNIT 404",50468200,690
144,"3312 S 28TH ST, UNIT 101",50468210,960
145,"3312 S 28TH ST, UNIT 102",50468220,960
146,"3312 S 28TH ST, UNIT 201",50468230,705
147,"3312 S 28TH ST, UNIT 202",50468240,875
148,"3312 S 28TH ST, UNIT 203",50468250,715
149,"3312 S 28TH ST, UNIT 204",50468260,690
150,"3312 S 28TH ST, UNIT 301",50468270,705
151,"3312 S 28TH ST, UNIT 302",50468280,875
152,"3312 S 28TH ST, UNIT 303",50468290,715
153,"3312 S 28TH ST, UNIT 304",50468300,690
154,"3312 S 28TH ST, UNIT 401",50468310,705
155,"3312 S 28TH ST, UNIT 402",50468320,875
156,"3312 S 28TH ST, UNIT 403",50468330,715
157,"3312 S 28TH ST, UNIT 404",50468340,690
158,"3314 S 28TH ST, UNIT 101",50468350,1290
159,"3314 S 28TH ST, UNIT 102",50468360,875
160,"3314 S 28TH ST, UNIT 201",50468370,675
161,"3314 S 28TH ST, UNIT 202",50468380,890
162,"3314 S 28TH ST, UNIT 203",50468390,890
163,"3314 S 28TH ST, UNIT 204",50468400,675
164,"3314 S 28TH ST, UNIT 301",50468410,675
165,"3314 S 28TH ST, UNIT 302",50468420,890
166,"3314 S 28TH ST, UNIT 303",50468430,890
167,"3314 S 28TH ST, UNIT 304",50468440,675
168,"3314 S 28TH ST, UNIT 401",50468450,675
169,"3314 S 28TH ST, UNIT 402",50468460,890
170,"3314 S 28TH ST, UNIT 403",50468470,890
171,"3314 S 28TH ST, UNIT 404",50468480,675
172,"3320 S 28TH ST, UNIT 101",50468490,875
173,"3320 S 28TH ST, UNIT 102",50468500,1240
174,"3320 S 28TH ST, UNIT 201",50468510,675
175,"3320 S 28TH ST, UNIT 202",50468520,890
176,"3320 S 28TH ST, UNIT 203",50468530,890
177,"3320 S 28TH ST, UNIT 204",50468540,675
178,"3320 S 28TH ST, UNIT 301",50468550,675
179,"3320 S 28TH ST, UNIT 302",50468560,890
180,"3320 S 28TH ST, UNIT 303",50468570,890
181,"3320 S 28TH ST, UNIT 304",50468580,675
182,"3320 S 28TH ST, UNIT 401",50468590,675
183,"3320 S 28TH ST, UNIT 402",50468600,890
184,"3320 S 28TH ST, UNIT 403",50468610,890
185,"3320 S 28TH ST, UNIT 404",50468620,675
186,"3330 S 28TH ST, UNIT 101",50468630,875
187,"3330 S 28TH ST, UNIT 102",50468640,1240
188,"3330 S 28TH ST, UNIT 201",50468650,675
189,"3330 S 28TH ST, UNIT 202",50468660,890
190,"3330 S 28TH ST, UNIT 203",50468670,890
191,"3330 S 28TH ST, UNIT 204",50468680,675
192,"3330 S 28TH ST, UNIT 301",50468690,675
193,"3330 S 28TH ST, UNIT 302",50468700,890
194,"3330 S 28TH ST, UNIT 303",50468710,890
195,"3330 S 28TH ST, UNIT 304",50468720,675
196,"3330 S 28TH ST, UNIT 401",50468730,675
197,"3330 S 28TH ST, UNIT 402",50468740,890
198,"3330 S 28TH ST, UNIT 403",50468750,890
199,"3330 S 28TH ST, UNIT 404",50468760,675
200,"3340 S 28TH ST, UNIT 101",50468770,960
201,"3340 S 28TH ST, UNIT 102",50468780,960
202,"3340 S 28TH ST, UNIT 201",50468790,705
203,"3340 S 28TH ST, UNIT 202",50468800,875
204,"3340 S 28TH ST, UNIT 203",50468810,715
205,"3340 S 28TH ST, UNIT 204",50468820,690
206,"3340 S 28TH ST, UNIT 301",50468830,705
207,"3340 S 28TH ST, UNIT 302",50468840,875
208,"3340 S 28TH ST, UNIT 303",50468850,715
209,"3340 S 28TH ST, UNIT 304",50468860,690
210,"3340 S 28TH ST, UNIT 401",50468870,705
211,"3340 S 28TH ST, UNIT 402",50468880,875
212,"3340 S 28TH ST, UNIT 403",50468890,715
213,"3340 S 28TH ST, UNIT 404",50468900,690
214,"3342 S 28TH ST, UNIT 101",50468910,695
215,"3342 S 28TH ST, UNIT 102",50468920,960
216,"3342 S 28TH ST, UNIT 201",50468930,705
217,"3342 S 28TH ST, UNIT 202",50468940,715
218,"3342 S 28TH ST, UNIT 203",50468950,875
219,"3342 S 28TH ST, UNIT 204",50468960,690
220,"3342 S 28TH ST, UNIT 301",50468970,705
221,"3342 S 28TH ST, UNIT 302",50468980,715
222,"3342 S 28TH ST, UNIT 303",50468990,875
223,"3342 S 28TH ST, UNIT 304",50469000,690
224,"3342 S 28TH ST, UNIT 401",50469010,705
225,"3342 S 28TH ST, UNIT 402",50469020,715
226,"3342 S 28TH ST, UNIT 403",50469030,875
227,"3342 S 28TH ST, UNIT 404",50469040,690
228,4900 S 28TH ST,50227240,1383
229,4902 S 28TH ST,50227250,1383
230,4903 S 28TH ST,50213000,1
231,4904 S 28TH ST,50227260,1383
232,4906 S 28TH ST,50227270,1383
233,4908 S 28TH ST,50227280,1383
234,4910 S 28TH ST,50227290,1383
235,"4912 S 28TH ST, UNIT B2",50227330,700
236,"4912 S 28TH ST, UNIT A2",50227320,1422
237,"4912 S 28TH ST, UNIT B1",50227310,700
238,"4912 S 28TH ST, UNIT A1",50227300,1422
239,4914 S 28TH ST,50227340,1383
240,4916 S 28TH ST,50227350,1383
241,"4900 S 29TH RD, UNIT C2",50225960,711
242,"4900 S 29TH RD, UNIT B2",50225950,711
243,"4900 S 29TH RD, UNIT A2",50225940,1422
244,"4900 S 29TH RD, UNIT C1",50225930,711
245,"4900 S 29TH RD, UNIT B1",50225920,711
246,"4900 S 29TH RD, UNIT A1",50225910,1422
247,4901 S 29TH RD,50226280,1383
248,"4902 S 29TH RD, UNIT C2",50226020,711
249,"4902 S 29TH RD, UNIT B2",50226010,711
250,"4902 S 29TH RD, UNIT A2",50226000,1422
251,"4902 S 29TH RD, UNIT C1",50225990,711
252,"4902 S 29TH RD, UNIT B1",50225980,711
253,"4902 S 29TH RD, UNIT A1",50225970,1422
254,4903 S 29TH RD,50226290,1383
255,"4904 S 29TH RD, UNIT A2",50226060,1422
256,"4904 S 29TH RD, UNIT C2",50226080,711
257,"4904 S 29TH RD, UNIT B2",50226070,711
258,"4904 S 29TH RD, UNIT C1",50226050,711
259,"4904 S 29TH RD, UNIT B1",50226040,711
260,"4904 S 29TH RD, UNIT A1",50226030,1422
261,"4905 S 29TH RD, UNIT A2",50226300,1422
262,"4905 S 29TH RD, UNIT B2",50226310,700
263,"4905 S 29TH RD, UNIT A1",50226320,1422
264,"4905 S 29TH RD, UNIT B1",50226340,700
265,"4906 S 29TH RD, UNIT C2",50226140,711
266,"4906 S 29TH RD, UNIT B2",50226130,711
267,"4906 S 29TH RD, UNIT A2",50226120,1422
268,"4906 S 29TH RD, UNIT C1",50226110,711
269,"4906 S 29TH RD, UNIT B1",50226100,711
270,"4906 S 29TH RD, UNIT A1",50226090,1422
271,"4907 S 29TH RD, UNIT A1",50226370,1422
272,"4907 S 29TH RD, UNIT B2",50226360,700
273,"4907 S 29TH RD, UNIT A2",50226350,1422
274,"4907 S 29TH RD, UNIT B1",50226380,700
275,4908 S 29TH RD,50226150,1383
276,4909 S 29TH RD,50226390,1383
277,4910 S 29TH RD,50226160,1383
278,4911 S 29TH RD,50226400,1383
279,4912 S 29TH RD,50226170,1383
280,"4914 S 29TH RD, UNIT C2",50226230,711
281,"4914 S 29TH RD, UNIT B2",50226220,711
282,"4914 S 29TH RD, UNIT A2",50226210,1422
283,"4914 S 29TH RD, UNIT C1",50226200,711
284,"4914 S 29TH RD, UNIT B1",50226190,711
285,"4914 S 29TH RD, UNIT A1",50226180,1422
286,4916 S 29TH RD,50226240,1383
287,4918 S 29TH RD,50226250,1383
288,4920 S 29TH RD,50226260,1383
289,4922 S 29TH RD,50226270,1383
290,4901 S 30TH ST,50225080,1383
291,"4903 S 30TH ST, UNIT C2",50225070,711
292,"4903 S 30TH ST, UNIT B2",50225060,711
293,"4903 S 30TH ST, UNIT A2",50225050,1422
294,"4903 S 30TH ST, UNIT C1",50225040,711
295,"4903 S 30TH ST, UNIT B1",50225030,711
296,"4903 S 30TH ST, UNIT A1",50225020,1422
297,"4907 S 30TH ST, UNIT C2",50225010,711
298,"4907 S 30TH ST, UNIT B2",50225000,711
299,"4907 S 30TH ST, UNIT A2",50224990,1422
300,"4907 S 30TH ST, UNIT C1",50224980,711
301,"4907 S 30TH ST, UNIT B1",50224970,711
302,"4907 S 30TH ST, UNIT A1",50224960,1422
303,4909 S 30TH ST,50224950,1383
304,4911 S 30TH ST,50224940,1383
305,1101 E ABINGDON DR,60040340,0
306,1101 E ABINGDON DR,60044410,1
307,1103 E ABINGDON DR,60044400,1
308,1105 E ABINGDON DR,60044390,2499
309,1107 E ABINGDON DR,60044380,2435
310,1109 E ABINGDON DR,60044370,1
311,1111 E ABINGDON DR,50411510,0
312,1113 E ABINGDON DR,60040210,1
313,1113 E ABINGDON DR,60041000,0
314,1115 E ABINGDON DR,60040200,0
315,1117 E ABINGDON DR,60040190,0
316,1119 E ABINGDON DR,60040180,2499
317,1121 E ABINGDON DR,60040170,0
318,1123 E ABINGDON DR,60040160,1
319,1201 E ABINGDON DR,50411500,104931
320,"1251 E ABINGDON DR, UNIT 1101",60000080,591
321,"1251 E ABINGDON DR, UNIT 1102",60000090,638
322,"1251 E ABINGDON DR, UNIT 1103",60000100,552
323,"1251 E ABINGDON DR, UNIT 1111",60000110,591
324,"1251 E ABINGDON DR, UNIT 1112",60000120,638
325,"1251 E ABINGDON DR, UNIT 1113",60000130,552
326,"1251 E ABINGDON DR, UNIT 1121",60000140,591
327,"1251 E ABINGDON DR, UNIT 1122",60000150,638
328,"1251 E ABINGDON DR, UNIT 1123",60000160,552
329,"1301 E ABINGDON DR, UNIT 1",50404500,625
330,"1301 E ABINGDON DR, UNIT 2",50404510,625
331,"1301 E ABINGDON DR, UNIT 3",50404520,625
332,"1301 E ABINGDON DR, UNIT 4",50404530,625
333,"1301 E ABINGDON DR, UNIT 5",50404540,825
334,"1301 E ABINGDON DR, UNIT 6",50404550,825
335,"1303 E ABINGDON DR, UNIT 1",50404560,950
336,"1303 E ABINGDON DR, UNIT 2",50404570,900
337,"1303 E ABINGDON DR, UNIT 3",50404580,725
338,"1303 E ABINGDON DR, UNIT 4",50404590,675
339,"1305 E ABINGDON DR, UNIT 1",50404600,875
340,"1305 E ABINGDON DR, UNIT 2",50404610,800
341,"1305 E ABINGDON DR, UNIT 3",50404620,650
342,"1305 E ABINGDON DR, UNIT 4",50404630,550
343,"1307 E ABINGDON DR, UNIT 1",50404640,950
344,"1307 E ABINGDON DR, UNIT 2",50404650,900
345,"1307 E ABINGDON DR, UNIT 3",50404660,1000
346,"1307 E ABINGDON DR, UNIT 4",50404670,975
347,"1309 E ABINGDON DR, UNIT 1",50404680,875
348,"1309 E ABINGDON DR, UNIT 2",50404690,800
349,"1309 E ABINGDON DR, UNIT 3",50404700,950
350,"1309 E ABINGDON DR, UNIT 4",50404710,875
351,"1311 E ABINGDON DR, UNIT 1",50404720,725
352,"1311 E ABINGDON DR, UNIT 2",50404730,675
353,"1311 E ABINGDON DR, UNIT 3",50404740,725
354,"1311 E ABINGDON DR, UNIT 4",50404750,675
355,"1313 E ABINGDON DR, UNIT 1",50404760,650
356,"1313 E ABINGDON DR, UNIT 2",50404770,550
357,"1313 E ABINGDON DR, UNIT 3",50404780,650
358,"1313 E ABINGDON DR, UNIT 4",50404790,550
359,"1315 E ABINGDON DR, UNIT 1",50404800,500
360,"1315 E ABINGDON DR, UNIT 2",50404810,900
361,"1315 E ABINGDON DR, UNIT 3",50404820,500
362,"1315 E ABINGDON DR, UNIT 4",50404830,900
363,"1315 E ABINGDON DR, UNIT 5",50404840,800
364,"1315 E ABINGDON DR, UNIT 6",50404850,1210
365,"1317 E ABINGDON DR, UNIT 1",50404860,900
366,"1317 E ABINGDON DR, UNIT 2",50404870,500
367,"1317 E ABINGDON DR, UNIT 3",50404880,900
368,"1317 E ABINGDON DR, UNIT 4",50404890,500
369,"1317 E ABINGDON DR, UNIT 5",50404900,1210
370,"1317 E ABINGDON DR, UNIT 6",50404910,800
371,"1401 E ABINGDON DR, UNIT 1",50415500,700
372,"1401 E ABINGDON DR, UNIT 2",50415510,685
373,"1401 E ABINGDON DR, UNIT 3",50415520,700
374,"1401 E ABINGDON DR, UNIT 4",50415530,685
375,"1401 E ABINGDON DR, UNIT 5",50415540,985
376,"1401 E ABINGDON DR, UNIT 6",50415550,1010
377,"1403 E ABINGDON DR, UNIT 1",50415560,685
378,"1403 E ABINGDON DR, UNIT 2",50415570,700
379,"1403 E ABINGDON DR, UNIT 3",50415580,685
380,"1403 E ABINGDON DR, UNIT 4",50415590,700
381,"1403 E ABINGDON DR, UNIT 5",50415600,1010
382,"1403 E ABINGDON DR, UNIT 6",50415610,985
383,"1405 E ABINGDON DR, UNIT 1",50415620,700
384,"1405 E ABINGDON DR, UNIT 2",50415630,685
385,"1405 E ABINGDON DR, UNIT 3",50415640,700
386,"1405 E ABINGDON DR, UNIT 4",50415650,685
387,"1405 E ABINGDON DR, UNIT 5",50415660,985
388,"1405 E ABINGDON DR, UNIT 6",50415670,1010
389,"1407 E ABINGDON DR, UNIT 1",50415680,685
390,"1407 E ABINGDON DR, UNIT 2",50415690,700
391,"1407 E ABINGDON DR, UNIT 3",50415700,685
392,"1407 E ABINGDON DR, UNIT 4",50415710,700
393,"1407 E ABINGDON DR, UNIT 5",50415720,1010
394,"1407 E ABINGDON DR, UNIT 6",50415730,985
395,"1409 E ABINGDON DR, UNIT 1",50404920,950
396,"1409 E ABINGDON DR, UNIT 2",50404930,675
397,"1409 E ABINGDON DR, UNIT 3",50404940,725
398,"1409 E ABINGDON DR, UNIT 4",50404950,675
399,"1411 E ABINGDON DR, UNIT 1",50404960,875
400,"1411 E ABINGDON DR, UNIT 2",50404970,800
401,"1411 E ABINGDON DR, UNIT 3",50404980,650
402,"1411 E ABINGDON DR, UNIT 4",50404990,550
403,"1413 E ABINGDON DR, UNIT 1",50405000,725
404,"1413 E ABINGDON DR, UNIT 2",50405010,675
405,"1413 E ABINGDON DR, UNIT 3",50405020,1000
406,"1413 E ABINGDON DR, UNIT 4",50405030,975
407,"1415 E ABINGDON DR, UNIT 1",50405040,650
408,"1415 E ABINGDON DR, UNIT 2",50405050,550
409,"1415 E ABINGDON DR, UNIT 3",50405060,950
410,"1415 E ABINGDON DR, UNIT 4",50405070,875
411,"1417 E ABINGDON DR, UNIT 1",50405080,685
412,"1417 E ABINGDON DR, UNIT 2",50405090,700
413,"1417 E ABINGDON DR, UNIT 3",50406000,685
414,"1417 E ABINGDON DR, UNIT 4",50406010,700
415,713 W ABINGDON DR,50410130,972
416,1100 W ABINGDON DR,50367330,972
417,1102 W ABINGDON DR,50449350,1512
418,1104 W ABINGDON DR,50449340,1512
419,1106 W ABINGDON DR,50459960,1260
420,1108 W ABINGDON DR,50367190,1008
421,1110 W ABINGDON DR,50459900,1512
422,1112 W ABINGDON DR,50459910,1260
423,1200 W ABINGDON DR,50410070,960
424,1202 W ABINGDON DR,50442010,1512
425,1204 W ABINGDON DR,50442000,1512
426,1206 W ABINGDON DR,50410040,1260
427,1208 W ABINGDON DR,50410030,972
428,1210 W ABINGDON DR,50449210,1260
429,1212 W ABINGDON DR,50409960,1512
430,1214 W ABINGDON DR,50409950,1512
431,1216 W ABINGDON DR,50409940,1260
432,1218 W ABINGDON DR,50449200,1260
433,1220 W ABINGDON DR,50409870,1260
434,1222 W ABINGDON DR,50409860,972
435,1420 W ABINGDON DR,12301000,164000
436,1600 W ABINGDON DR,12825000,1
437,"1602 W ABINGDON DR, UNIT 101",50624830,582
438,"1602 W ABINGDON DR, UNIT 102",50624840,683
439,"1602 W ABINGDON DR, UNIT 103",50624850,879
440,"1602 W ABINGDON DR, UNIT 201",50624860,582
441,"1602 W ABINGDON DR, UNIT 202",50624870,683
442,"1602 W ABINGDON DR, UNIT 203",50624880,879
443,"1602 W ABINGDON DR, UNIT 301",50624890,582
444,"1602 W ABINGDON DR, UNIT 302",50624900,683
445,"1602 W ABINGDON DR, UNIT 303",50624910,879
446,"1604 W ABINGDON DR, UNIT 101",50624920,610
447,"1604 W ABINGDON DR, UNIT 102",50624930,610
448,"1604 W ABINGDON DR, UNIT 201",50624940,610
449,"1604 W ABINGDON DR, UNIT 202",50624950,610
450,"1604 W ABINGDON DR, UNIT 301",50624960,610
451,"1604 W ABINGDON DR, UNIT 302",50624970,610
452,"1606 W ABINGDON DR, UNIT 101",50624980,610
453,"1606 W ABINGDON DR, UNIT 102",50624990,610
454,"1606 W ABINGDON DR, UNIT 201",50625000,610
455,"1606 W ABINGDON DR, UNIT 202",50625010,610
456,"1606 W ABINGDON DR, UNIT 301",50625020,610
457,"1606 W ABINGDON DR, UNIT 302",50625030,610
458,"1608 W ABINGDON DR, UNIT 101",50625040,610
459,"1608 W ABINGDON DR, UNIT 102",50625050,819
460,"1608 W ABINGDON DR, UNIT 201",50625060,610
461,"1608 W ABINGDON DR, UNIT 202",50625070,819
462,"1608 W ABINGDON DR, UNIT 301",50625080,610
463,"1608 W ABINGDON DR, UNIT 302",50625090,819
464,"1610 W ABINGDON DR, UNIT 101",50625100,819
465,"1610 W ABINGDON DR, UNIT 102",50625110,819
466,"1610 W ABINGDON DR, UNIT 201",50625120,819
467,"1610 W ABINGDON DR, UNIT 202",50625130,819
468,"1610 W ABINGDON DR, UNIT 301",50625140,819
469,"1610 W ABINGDON DR, UNIT 302",50625150,819
470,"1612 W ABINGDON DR, UNIT 101",50625160,819
471,"1612 W ABINGDON DR, UNIT 102",50625170,610
472,"1612 W ABINGDON DR, UNIT 201",50625180,819
473,"1612 W ABINGDON DR, UNIT 202",50625190,610
474,"1612 W ABINGDON DR, UNIT 301",50625200,819
475,"1612 W ABINGDON DR, UNIT 302",50625210,610
476,"1614 W ABINGDON DR, UNIT 101",50625220,610
477,"1614 W ABINGDON DR, UNIT 102",50625230,610
478,"1614 W ABINGDON DR, UNIT 201",50625240,610
479,"1614 W ABINGDON DR, UNIT 202",50625250,610
480,"1614 W ABINGDON DR, UNIT 301",50625260,610
481,"1614 W ABINGDON DR, UNIT 302",50625270,610
482,"1616 W ABINGDON DR, UNIT 101",50625280,610
483,"1616 W ABINGDON DR, UNIT 102",50265290,610
484,"1616 W ABINGDON DR, UNIT 201",50625300,610
485,"1616 W ABINGDON DR, UNIT 202",50625310,610
486,"1616 W ABINGDON DR, UNIT 301",50625320,610
487,"1616 W ABINGDON DR, UNIT 302",50625330,610
488,"1618 W ABINGDON DR, UNIT 101",50625340,879
489,"1618 W ABINGDON DR, UNIT 102",50625350,683
490,"1618 W ABINGDON DR, UNIT 103",50625360,582
491,"1618 W ABINGDON DR, UNIT 201",50625370,879
492,"1618 W ABINGDON DR, UNIT 202",50625380,683
493,"1618 W ABINGDON DR, UNIT 203",50625390,582
494,"1618 W ABINGDON DR, UNIT 301",50625400,879
495,"1618 W ABINGDON DR, UNIT 302",50625410,683
496,"1618 W ABINGDON DR, UNIT 303",50625420,582
497,"1620 W ABINGDON DR, UNIT 101",50625430,582
498,"1620 W ABINGDON DR, UNIT 102",50625440,683
499,"1620 W ABINGDON DR, UNIT 103",50625450,879
500,"1620 W ABINGDON DR, UNIT 201",50625460,582
501,"1620 W ABINGDON DR, UNIT 202",50625470,683
502,"1620 W ABINGDON DR, UNIT 203",50625480,879
503,"1620 W ABINGDON DR, UNIT 301",50625490,582
504,"1620 W ABINGDON DR, UNIT 302",50625500,683
505,"1620 W ABINGDON DR, UNIT 303",50625510,879
506,"1622 W ABINGDON DR, UNIT 101",50625520,610
507,"1622 W ABINGDON DR, UNIT 102",50625530,610
508,"1622 W ABINGDON DR, UNIT 201",50625540,610
509,"1622 W ABINGDON DR, UNIT 202",50625550,610
510,"1622 W ABINGDON DR, UNIT 301",50625560,610
511,"1622 W ABINGDON DR, UNIT 302",50625570,610
512,"1624 W ABINGDON DR, UNIT 101",50625580,610
513,"1624 W ABINGDON DR, UNIT 102",50625590,610
514,"1624 W ABINGDON DR, UNIT 201",50625600,610
515,"1624 W ABINGDON DR, UNIT 202",50625610,610
516,"1624 W ABINGDON DR, UNIT 301",50625620,610
